Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis
,,,,,"For chronic tension type headaches, amitriptyline is the only medication proven to help. Amitriptyline is a medication which treats depression and also independently treats pain. It works by blocking the reuptake of serotonin and norepinephrine, and also reduces muscle tenderness by a separate mechanism. Studies evaluating acupuncture for tension-type headaches have been mixed. Overall, they show that acupuncture is probably not helpful for tension-type headaches.",,,,,,,Another absorbent agent used for the treatment of mild diarrhea is kaopectate.,,"Structural compromise leading to blood in stool is caused by a variety of conditions, and therefore requires different treatment for each condition.",,,,,,Transcutaneous electrical nerve stimulation (TENS) has not been found to be effective in chronic low back pain. Evidence for the use of shoe insoles as a treatment is inconclusive. Motor control exercise involves guided movement and use of normal muscles during simple tasks which then builds to more complex tasks improves pain and function up to 20 weeks but was little different from manual therapy and other forms of exercise.,Radiofrequency denervation may provide temporary relief for specific affected areas in the neck.,,,
,,,,,Abortive therapy for cluster headaches includes subcutaneous sumatriptan (injected under the skin) and triptan nasal sprays. High flow oxygen therapy also helps with relief.,,,,,,,"Racecadotril an antisecretory medication may be used to treat diarrhea in children and  adults. It has better tolerability than loperamide, as it causes less constipation and flatulence. However, it has little benefit in improving acute diarrhea in children.",,"Peptic ulcer disease alone can be divided into multiple causes, but is generally initially controlled primarily with a proton pump inhibitor, with the addition of an H2 blocker.",,,,,,"Motor control exercise accompanied by manual therapy also produces similar reductions in pain intensity when compared to general strength and condition exercise training, yet only the latter also improved muscle endurance and strength, whilst concurrently decreased self-reported disability.",,,,
,,,,,"For people with extended periods of cluster headaches, preventive therapy can be necessary.",,,,,,,"Bile acid sequestrants such as cholestyramine can be effective in chronic diarrhea due to bile acid malabsorption. Therapeutic trials of these drugs are indicated in chronic diarrhea if bile acid malabsorption cannot be diagnosed with a specific test, such as SeHCAT retention.",,"Inflammatory bowel disease is also divided into separate conditions, namely ulcerative colitis and Crohn's disease, which have different medical treatment regimens, and may require surgical intervention in more serious conditions.",,,,,,"Peripheral nerve stimulation, a minimally-invasive procedure, may be useful in cases of chronic low back pain that do not respond to other measures, although the evidence supporting it is not conclusive, and it is not effective for pain that radiates into the leg.",,,,
,,,,,"For people with extended periods of cluster headaches, verapamil is recommended as first line treatment.",,,,,,,"Zinc supplementation may benefit children over six months old with diarrhea in areas with high rates of malnourishment or zinc deficiency. This supports the World Health Organization guidelines for zinc, but not in the very young.",,,,,,,,"Aquatic therapy is recommended as an option in those with other preexisting conditions like extreme obesity, degenerative joint disease, or other conditions that limit progressive walking.",,,,
,,,,,"For people with extended periods of cluster headaches, lithium can also be useful.",,,,,,,A Cochrane Review from 2020 concludes that probiotics make little or no difference to people who have diarrhoea lasting 2 days or longer and that there is no proof that they reduce its duration. The probiotic lactobacillus can help prevent antibiotic-associated diarrhea in adults but possibly not children.,,,,,,,,Aquatic therapy is recommended for chronic and subacute low back pain in those with a preexisting condition.,,,,
,,,,,"For people with shorter bouts, a short course of prednisone (10 days) can be helpful. Ergotamine is useful if given 1–2 hours before an attack. See cluster headaches for more detailed information.",,,,,,,"For those with lactose intolerance, taking digestive enzymes containing lactase when consuming dairy products often improves symptoms.",,,,,,,,"The management of low back pain often includes medications for the duration that they are beneficial. With the first episode of low back pain the hope is a complete cure; however, if the problem becomes chronic, the goals may change to pain management and the recovery of as much function as possible. As pain medications are only somewhat effective, expectations regarding their benefit may differ from reality, and this can lead to decreased satisfaction.",,,,
,,,,,Treatment of secondary headaches involves treating the underlying cause.,,,,,,,,,,,,,,,"If the pain is still not managed adequately, short term use of opioids such as morphine may be useful. These medications carry a risk of addiction, may have negative interactions with other drugs, and have a greater risk of side effects, including dizziness, nausea, and constipation. The effect of long term use of opioids for lower back pain is unknown. Opioid treatment for chronic low back pain increases the risk for lifetime illicit drug use. Specialist groups advise against general long-term use of opioids for chronic low back pain. As of 2016, the CDC has released a guideline for prescribed opioid use in the management of chronic pain. It states that opioid use is not the preferred treatment when managing chronic pain due to the excessive risks involved. If prescribed, a person and their clinician should have a realistic plan to discontinue its use in the event that the risks outweigh the benefit.",,,,
,,,,,"For treatment of secondary headaches, a person with meningitis will require antibiotics.",,,,,,,,,,,,,,,"For older people with chronic pain, opioids may be used in those for whom NSAIDs present too great a risk, including those with diabetes, stomach or heart problems. They may also be useful for a select group of people with neuropathic pain.",,,,
,,,,,"For treatment of secondary headaches, a person with a brain tumor may require surgery, chemotherapy or brain radiation.",,,,,,,,,,,,,,,"Although the antiseizure drugs gabapentin, pregabalin, and topiramate are sometimes used for chronic low back pain, evidence does not support a benefit. Systemic oral steroids have not been shown to be useful in low back pain.",,,,
,,,,,Peripheral neuromodulation has tentative benefits in primary headaches including cluster headaches and chronic migraine. How it may work is still being looked into.,,,,,,,,,,,,,,,"Facet joint injections and steroid injections into the discs have not been found to be effective in those with persistent, non-radiating pain; however, they may be considered for those with persistent sciatic pain.",,,,
,,,,,,,,,,,,,,,,,,,,Epidural corticosteroid injections provide a slight and questionable short-term improvement in those with sciatica but are of no long term benefit. There are also concerns of potential side effects.,,,,
,,,,,,,,,,,,,,,,,,,,"Discectomy (the partial removal of a disc that is causing leg pain) can provide pain relief sooner than nonsurgical treatments. Discectomy has better outcomes at one year but not at four to ten years. The less invasive microdiscectomy has not been shown to result in a different outcome than regular discectomy. For most other conditions, there is not enough evidence to provide recommendations for surgical options. The long-term effect surgery has on degenerative disc disease is not clear. Less invasive surgical options have improved recovery times, but evidence regarding effectiveness is insufficient.",,,,
,,,,,,,,,,,,,,,,,,,,"For those with pain localized to the lower back due to disc degeneration, fair evidence supports spinal fusion as equal to intensive physical therapy and slightly better than low-intensity nonsurgical measures. Fusion may be considered for those with low back pain from acquired displaced vertebra that does not improve with conservative treatment, although only a few of those who have spinal fusion experience good results. There are a number of different surgical procedures to achieve fusion, with no clear evidence of one being better than the others. Adding spinal implant devices during fusion increases the risks but provides no added improvement in pain or function.",,,,
,,,,,,,,,,,,,,,,,,,,"It is unclear if among those with non-chronic back pain alternative treatments are useful. Chiropractic care or spinal manipulation therapy (SMT) appears similar to other recommended treatments. National guidelines reach different conclusions, with some not recommending spinal manipulation, some describing manipulation as optional, and others recommending a short course for those who do not improve with other treatments. A 2017 review recommended spinal manipulation based on low quality evidence. Manipulation under anaesthesia, or medically assisted manipulation, has not enough evidence to make any confident recommendation. Spinal manipulative does not have a significant benefits over motor control exercises.",,,,
,,,,,,,,,,,,,,,,,,,,Massage therapy does not appear to provide much benefit for acute low back pain. A 2015 Cochrane review found that for acute low back pain massage therapy was better than no treatment for pain only in the short-term.,,,,
,,,,,,,,,,,,,,,,,,,,"Capsicum, in the form of either a gel or a plaster cast, has been found to reduce pain and increase function.",,,,
,,,,,,,,,,,,,,,,,,,,"Behavioral therapy may be useful for chronic pain. There are several types available, including operant conditioning, which uses reinforcement to reduce undesirable behaviors and increase desirable behaviors; cognitive behavioral therapy, which helps people identify and correct negative thinking and behavior; and respondent conditioning, which can modify an individual's physiological response to pain.",,,,
,,,,,,,,,,,,,,,,,,,,"Tentative evidence supports neuroreflexotherapy (NRT), in which small pieces of metal are placed just under the skin of the ear and back, for non-specific low back pain.",,,,
,,,,,,,,,,,,,,,,,,,,"Multidisciplinary biopsychosocial rehabilitation (MBR), targeting physical and psychological aspects, may improve back pain but evidence is limited. There is a lack of good quality evidence to support the use of radiofrequency denervation for pain relief.",,,,
,,,,,,,,,,,,,,,,,,,,KT Tape has been found to be no different for management of chronic non-specific low back pain than other established pain management strategies.,,,,
,,,,,,,,,,,,,,,,,,,,"There is strong evidence that education may improve low back pain, with a 2.5 hour educational session more effective than usual care for helping people return to work in the short- and long-term. This was more effective for people with acute rather than chronic back pain.",,,,
